word,translation,explanation
私,わたし,「私」は一人称。「わたくし」と読むとよりフォーマルな場面に使われる。
貴方,あなた,「貴方」は二人称だが、実際の会話ではひらがなで「あなた」と書くことが多い。
彼,かれ,「彼」は三人称男性。「彼氏」の意味で恋人を指すこともある。
彼女,かのじょ,「彼女」は三人称女性。「恋人」の意味で使われることも多い。
人,ひと,「人」は単独では「ひと」と読むが、熟語では「にん」「じん」に変わる（例：一人 ひとり、日本人 にほんじん）。
名前,なまえ,「名」の音読みは「めい」だが、「名前」では訓読みの「な」になる。
学校,がっこう,「学」の音読みは本来「がく」だが、後ろの音の影響で促音「がっ」に変化する。
先生,せんせい,教師や医師などを敬って呼ぶ言葉。「先に生まれた人」が語源。
学生,がくせい,学ぶ人。中高生には「生徒」を使うことが多く、「学生」は主に大学生を指す。
友達,ともだち,「達」は本来複数を表す接尾語だが、「友達」は単数でも複数でも使える。
家族,かぞく,家庭のメンバー全体を指す言葉。
両親,りょうしん,父と母、両方の親をまとめて指す言葉。
父,ちち,自分の父を話すときに使う。他人の父を呼ぶときは「お父さん」を使う。
母,はは,自分の母を話すときに使う。他人の母を呼ぶときは「お母さん」を使う。
兄,あに,自分の兄を話すときに使う。他人の兄を呼ぶときは「お兄さん」を使う。
姉,あね,自分の姉を話すときに使う。他人の姉を呼ぶときは「お姉さん」を使う。
弟,おとうと,自分の弟を指す言葉。長音の位置に注意（おと・うと）。
妹,いもうと,自分の妹を指す言葉。
子供,こども,「供」の字を避けて「子ども」と表記することも多い。
大人,おとな,熟字訓の一つで、「だい」「じん」とは読まない特殊な読み方。
時間,じかん,「時」は訓読みで「とき」、音読みで「じ」。「時間」は音読み同士の組み合わせ。
今日,きょう,熟字訓（二字以上で特別な読み方をする言葉）。音読みでは「こんにち」（例：今日は）。
明日,あした,熟字訓。「みょうにち」というより硬い読み方もある。
昨日,きのう,熟字訓。「さくじつ」という音読みもあるが、日常では「きのう」が普通。
毎日,まいにち,「毎」＋「日」で「every day」の意味。
今年,ことし,熟字訓。「こんねん」という読み方は使われない。
来年,らいねん,「来」を「らい」と読む音読み熟語。
去年,きょねん,「去」は「去る（さる）」の意味で、過ぎ去った年を表す。
天気,てんき,空模様のこと。「天気がいい／悪い」の形でよく使う。
電話,でんわ,「電」＋「話」で「電気を使って話す道具」という意味。
会社,かいしゃ,仕事をする組織。「社会（しゃかい）」と語順が逆なので混同注意。
仕事,しごと,「仕える事」が語源で、働くこと全般を指す。
銀行,ぎんこう,「銀」＋「行」でお金を扱う場所。
病院,びょういん,「病」は「びょう」と読み、訓読みの「やまい」とは異なる。
図書館,としょかん,「図書」＋「館」で本を読む・借りる場所。
駅,えき,電車が停車する場所。単独の漢字だが読みは音読みの「えき」のみ。
空港,くうこう,「空」＋「港」で「空の港」、飛行機の発着場所。
部屋,へや,「部」を「へ」、「屋」を「や」と読む、やや特殊な組み合わせ。
家,いえ,訓読みでは「いえ」、他に「うち」という読み方もあり文脈で使い分ける。
教室,きょうしつ,授業をする部屋。「教える室（へや）」の意味。
本,ほん,書物。数えるときは助数詞「冊（さつ）」を使う。
新聞,しんぶん,「新しく聞く」で、毎日発行される情報紙のこと。
音楽,おんがく,「音」を「おん」と読む音読み熟語。
映画,えいが,スクリーンで見る作品。「映る画（え）」が語源。
写真,しゃしん,「真を写す」で、カメラで撮った画像のこと。
